cohort_month	total_customers	months_after_first_order	customers_active	retention_percentage
2021-10	35	1	713.84	713.840000	72243.50
2021-10	37	2	941.00	470.500000	73184.50
2021-10	38	3	3367.08	1122.360000	76551.58
2021-10	39	1	135.09	135.090000	76686.67
2021-10	40	1	913.83	913.830000	77600.50
2021-10	41	1	1517.02	1517.020000	79117.52
2021-10	42	2	912.94	456.470000	80030.46
2021-10	43	1	2279.77	2279.770000	82310.23
2021-10	44	3	2401.90	800.633333	84712.13
2021-10	45	1	355.58	355.580000	85067.71
2021-10	46	5	3221.82	644.364000	88289.53
2021-10	47	1	454.74	454.740000	88744.27
2021-11	0	41	37037.93	903.364146	37037.93
2021-11	1	4	7604.00	1901.000000	44641.93
2021-11	2	6	5520.12	920.020000	50162.05
2021-11	3	3	1343.62	447.873333	51505.67
2021-11	4	7	12612.18	1801.740000	64117.85
2021-11	5	5	3761.89	752.378000	67879.74
2021-11	6	2	1309.90	654.950000	69189.64
2021-11	7	6	1841.98	306.996667	71031.62
2021-11	8	3	4250.06	1416.686667	75281.68
2021-11	9	3	4864.31	1621.436667	80145.99
2021-11	10	1	3871.77	3871.770000	84017.76
2021-11	11	4	9276.42	2319.105000	93294.18
2021-11	12	1	1187.76	1187.760000	94481.94
2021-11	13	2	670.68	335.340000	95152.62
2021-11	14	4	727.94	181.985000	95880.56
2021-11	15	4	2440.13	610.032500	98320.69
2021-11	16	2	1722.22	861.110000	100042.91
2021-11	17	4	3122.80	780.700000	103165.71
2021-11	18	6	3277.34	546.223333	106443.05
2021-11	20	3	1009.82	336.606667	107452.87
2021-11	21	2	1415.25	707.625000	108868.12
2021-11	22	2	1268.15	634.075000	110136.27
2021-11	23	7	5395.82	770.831429	115532.09
2021-11	24	1	515.38	515.380000	116047.47
2021-11	25	2	1296.22	648.110000	117343.69
2021-11	26	3	3678.67	1226.223333	121022.36
2021-11	27	3	1830.56	610.186667	122852.92
2021-11	28	5	3236.75	647.350000	126089.67
2021-11	29	3	3972.78	1324.260000	130062.45
2021-11	30	4	4941.28	1235.320000	135003.73
2021-11	31	9	14175.64	1575.071111	149179.37
2021-11	32	4	2569.59	642.397500	151748.96
2021-11	33	5	5917.22	1183.444000	157666.18
2021-11	34	5	3920.82	784.164000	161587.00
2021-11	35	2	932.95	466.475000	162519.95
2021-11	36	3	8337.50	2779.166667	170857.45
2021-11	37	4	3803.65	950.912500	174661.10
2021-11	38	4	7834.04	1958.510000	182495.14
2021-11	39	5	6444.80	1288.960000	188939.94
2021-11	40	2	473.20	236.600000	189413.14
2021-11	41	3	3333.98	1111.326667	192747.12
2021-11	42	5	7038.80	1407.760000	199785.92
2021-11	43	2	156.86	78.430000	199942.78
2021-11	44	4	1989.80	497.450000	201932.58
2021-11	45	2	427.51	213.755000	202360.09
2021-11	46	2	2396.44	1198.220000	204756.53
2021-12	0	41	44709.10	1090.465854	44709.10
2021-12	1	3	1554.79	518.263333	46263.89
2021-12	2	3	1120.72	373.573333	47384.61
2021-12	3	3	2150.76	716.920000	49535.37
2021-12	4	2	4456.21	2228.105000	53991.58
2021-12	5	2	965.61	482.805000	54957.19
2021-12	6	8	5373.12	671.640000	60330.31
2021-12	7	9	11053.74	1228.193333	71384.05
2021-12	8	3	1017.61	339.203333	72401.66
2021-12	9	2	681.40	340.700000	73083.06
2021-12	10	2	3348.75	1674.375000	76431.81
2021-12	11	3	5989.10	1996.366667	82420.91
2021-12	12	5	3290.85	658.170000	85711.76
2021-12	13	2	545.30	272.650000	86257.06
2021-12	14	3	993.24	331.080000	87250.30
2021-12	15	2	8239.43	4119.715000	95489.73
2021-12	16	5	2929.37	585.874000	98419.10
2021-12	17	3	2402.68	800.893333	100821.78
2021-12	18	1	220.97	220.970000	101042.75
2021-12	19	5	2867.75	573.550000	103910.50
2021-12	20	1	669.09	669.090000	104579.59
2021-12	21	5	7688.62	1537.724000	112268.21
2021-12	22	2	4017.06	2008.530000	116285.27
2021-12	23	1	185.25	185.250000	116470.52
2021-12	24	2	2953.81	1476.905000	119424.33
2021-12	25	3	1917.01	639.003333	121341.34
2021-12	26	7	7959.21	1137.030000	129300.55
2021-12	27	2	254.26	127.130000	129554.81
2021-12	28	2	3457.92	1728.960000	133012.73
2021-12	29	4	964.09	241.022500	133976.82
2021-12	30	3	1565.83	521.943333	135542.65
2021-12	31	2	5860.79	2930.395000	141403.44
2021-12	32	3	6260.09	2086.696667	147663.53
2021-12	33	2	4621.64	2310.820000	152285.17
2021-12	34	5	4108.83	821.766000	156394.00
2021-12	35	3	1971.10	657.033333	158365.10
2021-12	36	3	861.63	287.210000	159226.73
2021-12	37	4	438.92	109.730000	159665.65
2021-12	38	4	5338.79	1334.697500	165004.44
2021-12	39	5	7161.01	1432.202000	172165.45
2021-12	40	3	4077.66	1359.220000	176243.11
2021-12	41	7	10170.54	1452.934286	186413.65
2021-12	42	1	577.33	577.330000	186990.98
2021-12	43	1	48.87	48.870000	187039.85
2021-12	44	7	4259.30	608.471429	191299.15
2022-01	0	55	79850.00	1451.818182	79850.00
2022-01	1	4	3762.13	940.532500	83612.13
2022-01	2	3	940.51	313.503333	84552.64
2022-01	3	7	5665.65	809.378571	90218.29
2022-01	4	5	2449.15	489.830000	92667.44
2022-01	5	6	3750.01	625.001667	96417.45
2022-01	6	5	3006.19	601.238000	99423.64
2022-01	7	1	2244.70	2244.700000	101668.34
2022-01	8	5	8232.17	1646.434000	109900.51
2022-01	9	10	7565.00	756.500000	117465.51
2022-01	10	9	7033.15	781.461111	124498.66
2022-01	11	7	3964.07	566.295714	128462.73
2022-01	12	6	6195.58	1032.596667	134658.31
2022-01	13	3	2166.57	722.190000	136824.88
2022-01	14	5	5832.77	1166.554000	142657.65
2022-01	15	7	3618.83	516.975714	146276.48
2022-01	16	5	6308.23	1261.646000	152584.71
2022-01	17	4	6418.93	1604.732500	159003.64
2022-01	18	6	4193.16	698.860000	163196.80
2022-01	19	6	6062.16	1010.360000	169258.96
2022-01	20	11	8965.49	815.044545	178224.45
2022-01	21	7	5671.81	810.258571	183896.26
2022-01	22	6	5456.46	909.410000	189352.72
2022-01	23	7	7105.80	1015.114286	196458.52
2022-01	24	6	5581.58	930.263333	202040.10
2022-01	25	5	3003.23	600.646000	205043.33
2022-01	26	6	6616.83	1102.805000	211660.16
2022-01	27	5	4916.21	983.242000	216576.37
2022-01	28	1	599.40	599.400000	217175.77
2022-01	29	3	1599.23	533.076667	218775.00
2022-01	30	3	1155.58	385.193333	219930.58
2022-01	31	4	2293.01	573.252500	222223.59
2022-01	32	6	6140.99	1023.498333	228364.58
2022-01	33	5	2255.30	451.060000	230619.88
2022-01	34	6	7302.44	1217.073333	237922.32
2022-01	35	5	4887.46	977.492000	242809.78
2022-01	36	7	7547.74	1078.248571	250357.52
2022-01	37	3	1105.83	368.610000	251463.35
2022-01	38	4	7337.72	1834.430000	258801.07
2022-01	39	1	1692.00	1692.000000	260493.07
2022-01	40	7	6992.21	998.887143	267485.28
2022-01	41	6	6672.19	1112.031667	274157.47
2022-01	42	4	2582.53	645.632500	276740.00
2022-01	43	5	9701.47	1940.294000	286441.47
2022-01	44	1	615.90	615.900000	287057.37
2022-02	0	65	59311.42	912.483385	59311.42
2022-02	1	8	8251.06	1031.382500	67562.48
2022-02	2	5	6512.79	1302.558000	74075.27
2022-02	3	9	7232.75	803.638889	81308.02
2022-02	4	7	3397.26	485.322857	84705.28
2022-02	5	5	3960.41	792.082000	88665.69
2022-02	6	6	2752.15	458.691667	91417.84
2022-02	7	5	3832.19	766.438000	95250.03
2022-02	8	7	4794.83	684.975714	100044.86
2022-02	9	8	3854.91	481.863750	103899.77
2022-02	10	7	9152.94	1307.562857	113052.71
2022-02	11	7	5203.69	743.384286	118256.40
2022-02	12	6	8039.12	1339.853333	126295.52
2022-02	13	2	2471.97	1235.985000	128767.49
2022-02	14	6	2296.27	382.711667	131063.76
2022-02	15	6	2041.66	340.276667	133105.42
2022-02	16	7	15214.67	2173.524286	148320.09
2022-02	17	7	11276.46	1610.922857	159596.55
2022-02	18	3	475.05	158.350000	160071.60
2022-02	19	5	7009.91	1401.982000	167081.51
2022-02	20	3	3772.41	1257.470000	170853.92
2022-02	21	6	3526.19	587.698333	174380.11
2022-02	22	6	5549.04	924.840000	179929.15
2022-02	23	4	3343.46	835.865000	183272.61
2022-02	24	5	6828.23	1365.646000	190100.84
2022-02	25	6	7214.86	1202.476667	197315.70
2022-02	26	2	1181.52	590.760000	198497.22
2022-02	27	13	13050.51	1003.885385	211547.73
2022-02	28	6	6160.23	1026.705000	217707.96
2022-02	29	3	2143.08	714.360000	219851.04
2022-02	30	9	7163.88	795.986667	227014.92
2022-02	31	5	2806.45	561.290000	229821.37
2022-02	32	9	5399.10	599.900000	235220.47
2022-02	33	7	6697.50	956.785714	241917.97
2022-02	34	4	7251.83	1812.957500	249169.80
2022-02	35	4	3779.25	944.812500	252949.05
2022-02	36	2	494.69	247.345000	253443.74
2022-02	37	4	6249.33	1562.332500	259693.07
2022-02	38	5	2856.19	571.238000	262549.26
2022-02	39	6	3138.36	523.060000	265687.62
2022-02	40	6	11158.14	1859.690000	276845.76
2022-02	41	6	4917.40	819.566667	281763.16
2022-02	42	12	12709.54	1059.128333	294472.70
2022-02	43	7	12536.08	1790.868571	307008.78
2022-03	0	88	81022.03	920.704886	81022.03
2022-03	1	10	13253.97	1325.397000	94276.00
2022-03	2	3	1450.75	483.583333	95726.75
2022-03	3	8	3703.01	462.876250	99429.76
2022-03	4	7	5119.90	731.414286	104549.66
2022-03	5	7	11050.00	1578.571429	115599.66
2022-03	6	10	6098.75	609.875000	121698.41
2022-03	7	9	7332.51	814.723333	129030.92
2022-03	8	1	229.09	229.090000	129260.01
2022-03	9	10	4380.01	438.001000	133640.02
2022-03	10	10	10014.34	1001.434000	143654.36
2022-03	11	7	5723.13	817.590000	149377.49
2022-03	12	8	9518.09	1189.761250	158895.58
2022-03	13	12	8875.54	739.628333	167771.12
2022-03	14	5	6356.70	1271.340000	174127.82
2022-03	15	15	11070.59	738.039333	185198.41
2022-03	16	7	11723.54	1674.791429	196921.95
2022-03	17	7	5014.54	716.362857	201936.49
2022-03	18	4	2187.85	546.962500	204124.34
2022-03	19	12	10711.80	892.650000	214836.14
2022-03	20	7	8128.99	1161.284286	222965.13
2022-03	21	9	8021.59	891.287778	230986.72
2022-03	22	9	6534.45	726.050000	237521.17
2022-03	23	7	2702.62	386.088571	240223.79
2022-03	24	4	5653.22	1413.305000	245877.01
2022-03	25	8	10888.17	1361.021250	256765.18
2022-03	26	9	9140.19	1015.576667	265905.37
2022-03	27	8	7154.50	894.312500	273059.87
2022-03	28	9	6037.21	670.801111	279097.08
2022-03	29	7	7352.62	1050.374286	286449.70
2022-03	30	7	6520.81	931.544286	292970.51
2022-03	31	5	6007.91	1201.582000	298978.42
2022-03	32	7	10128.16	1446.880000	309106.58
2022-03	33	10	8761.25	876.125000	317867.83
2022-03	34	6	6179.47	1029.911667	324047.30
2022-03	35	10	7659.25	765.925000	331706.55
2022-03	36	9	10028.64	1114.293333	341735.19
2022-03	37	10	10607.34	1060.734000	352342.53
2022-03	38	6	5980.12	996.686667	358322.65
2022-03	39	9	10208.36	1134.262222	368531.01
2022-03	40	1	792.42	792.420000	369323.43
2022-03	41	8	10744.65	1343.081250	380068.08
2022-03	42	4	3643.52	910.880000	383711.60
2022-04	0	72	71736.27	996.337083	71736.27
2022-04	1	5	3130.72	626.144000	74866.99
2022-04	2	4	1436.69	359.172500	76303.68
2022-04	3	5	4393.40	878.680000	80697.08
2022-04	4	2	151.26	75.630000	80848.34
2022-04	5	4	4158.38	1039.595000	85006.72
2022-04	6	11	10454.83	950.439091	95461.55
2022-04	7	8	5979.06	747.382500	101440.61
2022-04	8	13	12677.89	975.222308	114118.50
2022-04	9	1	856.09	856.090000	114974.59
2022-04	10	7	5448.99	778.427143	120423.58
2022-04	11	4	7946.93	1986.732500	128370.51
2022-04	12	7	3282.41	468.915714	131652.92
2022-04	13	9	5191.83	576.870000	136844.75
2022-04	14	4	1992.68	498.170000	138837.43
2022-04	15	4	1248.11	312.027500	140085.54
2022-04	16	6	2223.80	370.633333	142309.34
2022-04	17	5	3134.51	626.902000	145443.85
2022-04	18	6	4686.30	781.050000	150130.15
2022-04	19	6	10164.64	1694.106667	160294.79
2022-04	20	8	3775.47	471.933750	164070.26
2022-04	21	8	6116.04	764.505000	170186.30
2022-04	22	6	3316.74	552.790000	173503.04
2022-04	23	9	9534.46	1059.384444	183037.50
2022-04	24	4	5221.95	1305.487500	188259.45
2022-04	25	5	2285.28	457.056000	190544.73
2022-04	26	8	12372.41	1546.551250	202917.14
2022-04	27	12	10025.68	835.473333	212942.82
2022-04	28	8	6189.05	773.631250	219131.87
2022-04	29	5	4369.93	873.986000	223501.80
2022-04	30	9	10075.38	1119.486667	233577.18
2022-04	31	6	3049.60	508.266667	236626.78
2022-04	32	3	4364.70	1454.900000	240991.48
2022-04	33	5	3475.09	695.018000	244466.57
2022-04	34	11	19589.03	1780.820909	264055.60
2022-04	35	9	12539.58	1393.286667	276595.18
2022-04	36	10	14707.06	1470.706000	291302.24
2022-04	37	8	6007.33	750.916250	297309.57
2022-04	38	5	7964.69	1592.938000	305274.26
2022-04	39	6	2702.67	450.445000	307976.93
2022-04	40	4	2767.92	691.980000	310744.85
2022-04	41	5	3943.75	788.750000	314688.60
2022-05	0	108	110732.88	1025.304444	110732.88
2022-05	1	6	4803.75	800.625000	115536.63
2022-05	2	10	12157.46	1215.746000	127694.09
2022-05	3	10	8020.54	802.054000	135714.63
2022-05	4	8	17564.93	2195.616250	153279.56
2022-05	5	8	7219.03	902.378750	160498.59
2022-05	6	9	7723.66	858.184444	168222.25
2022-05	7	9	11851.45	1316.827778	180073.70
2022-05	8	12	14311.32	1192.610000	194385.02
2022-05	9	10	11931.03	1193.103000	206316.05
2022-05	10	10	4526.60	452.660000	210842.65
2022-05	11	3	2628.79	876.263333	213471.44
2022-05	12	10	11024.33	1102.433000	224495.77
2022-05	13	12	5165.63	430.469167	229661.40
2022-05	14	8	8168.38	1021.047500	237829.78
2022-05	15	11	9047.56	822.505455	246877.34
2022-05	16	12	11688.61	974.050833	258565.95
2022-05	17	12	7205.37	600.447500	265771.32
2022-05	18	14	16002.45	1143.032143	281773.77
2022-05	19	10	12662.38	1266.238000	294436.15
2022-05	20	7	8600.57	1228.652857	303036.72
2022-05	21	5	3453.19	690.638000	306489.91
2022-05	22	5	10517.86	2103.572000	317007.77
2022-05	23	17	19981.67	1175.392353	336989.44
2022-05	24	10	13701.94	1370.194000	350691.38
2022-05	25	10	12073.66	1207.366000	362765.04
2022-05	26	6	3056.90	509.483333	365821.94
2022-05	27	11	10065.80	915.072727	375887.74
2022-05	28	11	8243.42	749.401818	384131.16
2022-05	29	10	10336.51	1033.651000	394467.67
2022-05	30	7	10872.84	1553.262857	405340.51
2022-05	31	18	13159.94	731.107778	418500.45
2022-05	32	4	3620.43	905.107500	422120.88
2022-05	33	4	5452.85	1363.212500	427573.73
2022-05	34	10	5685.07	568.507000	433258.80
2022-05	35	9	14312.41	1590.267778	447571.21
2022-05	36	6	4408.32	734.720000	451979.53
2022-05	37	12	8361.85	696.820833	460341.38
2022-05	38	9	6724.16	747.128889	467065.54
2022-05	39	3	3890.53	1296.843333	470956.07
2022-05	40	9	5031.48	559.053333	475987.55
2022-06	0	117	115663.39	988.575983	115663.39
2022-06	1	11	12376.30	1125.118182	128039.69
2022-06	2	8	3505.75	438.218750	131545.44
2022-06	3	9	14195.60	1577.288889	145741.04
2022-06	4	10	10716.98	1071.698000	156458.02
2022-06	5	7	6137.93	876.847143	162595.95
2022-06	6	10	9669.52	966.952000	172265.47
2022-06	7	8	6375.11	796.888750	178640.58
2022-06	8	10	9620.98	962.098000	188261.56
2022-06	9	8	7704.24	963.030000	195965.80
2022-06	10	7	5338.98	762.711429	201304.78
2022-06	11	11	7736.82	703.347273	209041.60
2022-06	12	16	16306.05	1019.128125	225347.65
2022-06	13	9	15282.43	1698.047778	240630.08
2022-06	14	11	9248.25	840.750000	249878.33
2022-06	15	11	12352.89	1122.990000	262231.22
2022-06	16	7	11955.82	1707.974286	274187.04
2022-06	17	10	11453.41	1145.341000	285640.45
2022-06	18	9	8249.35	916.594444	293889.80
2022-06	19	10	8251.35	825.135000	302141.15
2022-06	20	9	12833.38	1425.931111	314974.53
2022-06	21	9	6447.10	716.344444	321421.63
2022-06	22	7	6929.35	989.907143	328350.98
2022-06	23	10	8149.15	814.915000	336500.13
2022-06	24	11	13865.93	1260.539091	350366.06
2022-06	25	9	9581.12	1064.568889	359947.18
2022-06	26	11	8369.69	760.880909	368316.87
2022-06	27	11	6111.33	555.575455	374428.20
2022-06	28	13	17080.14	1313.856923	391508.34
2022-06	29	11	8292.54	753.867273	399800.88
2022-06	30	12	10539.11	878.259167	410339.99
2022-06	31	5	2536.20	507.240000	412876.19
2022-06	32	11	10735.21	975.928182	423611.40
2022-06	33	15	12568.13	837.875333	436179.53
2022-06	34	10	2284.00	228.400000	438463.53
2022-06	35	16	9725.45	607.840625	448188.98
2022-06	36	11	8732.04	793.821818	456921.02
2022-06	37	11	14079.78	1279.980000	471000.80
2022-06	38	10	4903.43	490.343000	475904.23
2022-06	39	7	5319.43	759.918571	481223.66
2022-07	0	134	123811.27	923.964701	123811.27
2022-07	1	10	5107.63	510.763000	128918.90
2022-07	2	11	7154.87	650.442727	136073.77
2022-07	3	14	9090.00	649.285714	145163.77
2022-07	4	17	17682.42	1040.142353	162846.19
2022-07	5	10	12024.15	1202.415000	174870.34
2022-07	6	11	9476.89	861.535455	184347.23
2022-07	7	13	13717.50	1055.192308	198064.73
2022-07	8	13	6980.69	536.976154	205045.42
2022-07	9	12	7511.49	625.957500	212556.91
2022-07	10	15	14226.52	948.434667	226783.43
2022-07	11	16	10696.60	668.537500	237480.03
2022-07	12	11	11482.59	1043.871818	248962.62
2022-07	13	9	11127.94	1236.437778	260090.56
2022-07	14	11	8314.57	755.870000	268405.13
2022-07	15	12	12445.85	1037.154167	280850.98
2022-07	16	9	4770.53	530.058889	285621.51
2022-07	17	9	4379.61	486.623333	290001.12
2022-07	18	14	10764.20	768.871429	300765.32
2022-07	19	11	11144.11	1013.100909	311909.43
2022-07	20	12	5546.06	462.171667	317455.49
2022-07	21	13	24372.64	1874.818462	341828.13
2022-07	22	12	12134.86	1011.238333	353962.99
2022-07	23	11	4441.41	403.764545	358404.40
2022-07	24	17	19777.41	1163.377059	378181.81
2022-07	25	10	7282.26	728.226000	385464.07
2022-07	26	15	12991.73	866.115333	398455.80
2022-07	27	7	7244.54	1034.934286	405700.34
2022-07	28	14	11230.26	802.161429	416930.60
2022-07	29	14	17319.81	1237.129286	434250.41
2022-07	30	10	12212.45	1221.245000	446462.86
2022-07	31	16	9926.02	620.376250	456388.88
2022-07	32	8	5261.96	657.745000	461650.84
2022-07	33	13	17270.71	1328.516154	478921.55
2022-07	34	15	11046.87	736.458000	489968.42
2022-07	35	9	8683.27	964.807778	498651.69
2022-07	36	10	11188.01	1118.801000	509839.70
2022-07	37	13	12434.34	956.487692	522274.04
2022-07	38	6	4945.75	824.291667	527219.79
2022-08	0	127	129229.34	1017.553858	129229.34
2022-08	1	17	12026.81	707.459412	141256.15
2022-08	2	13	10122.96	778.689231	151379.11
2022-08	3	17	19488.11	1146.359412	170867.22
2022-08	4	18	24554.55	1364.141667	195421.77
2022-08	5	12	8472.40	706.033333	203894.17
2022-08	6	5	9879.94	1975.988000	213774.11
2022-08	7	12	16631.66	1385.971667	230405.77
2022-08	8	13	18919.93	1455.379231	249325.70
2022-08	9	10	10047.18	1004.718000	259372.88
2022-08	10	17	13417.43	789.260588	272790.31
2022-08	11	11	15119.41	1374.491818	287909.72
2022-08	12	16	12605.91	787.869375	300515.63
2022-08	13	10	8837.08	883.708000	309352.71
2022-08	14	13	16692.72	1284.055385	326045.43
2022-08	15	7	5274.47	753.495714	331319.90
2022-08	16	10	9206.59	920.659000	340526.49
2022-08	17	17	22346.99	1314.528824	362873.48
2022-08	18	9	7661.36	851.262222	370534.84
2022-08	19	17	10308.30	606.370588	380843.14
2022-08	20	18	22389.26	1243.847778	403232.40
2022-08	21	15	6327.21	421.814000	409559.61
2022-08	22	9	9901.35	1100.150000	419460.96
2022-08	23	15	14328.05	955.203333	433789.01
2022-08	24	14	18518.52	1322.751429	452307.53
2022-08	25	12	8779.49	731.624167	461087.02
2022-08	26	11	4951.43	450.130000	466038.45
2022-08	27	12	10464.33	872.027500	476502.78
2022-08	28	7	7863.19	1123.312857	484365.97
2022-08	29	18	19512.09	1084.005000	503878.06
2022-08	30	16	16548.07	1034.254375	520426.13
2022-08	31	12	5095.03	424.585833	525521.16
2022-08	32	4	3439.88	859.970000	528961.04
2022-08	33	14	9768.36	697.740000	538729.40
2022-08	34	15	15998.95	1066.596667	554728.35
2022-08	35	17	18601.12	1094.183529	573329.47
2022-08	36	8	10263.99	1282.998750	583593.46
2022-08	37	3	2176.09	725.363333	585769.55
2022-09	0	133	137695.32	1035.303158	137695.32
2022-09	1	10	8711.99	871.199000	146407.31
2022-09	2	15	14780.66	985.377333	161187.97
2022-09	3	12	13100.62	1091.718333	174288.59
2022-09	4	14	14082.57	1005.897857	188371.16
2022-09	5	16	13966.23	872.889375	202337.39
2022-09	6	16	19211.36	1200.710000	221548.75
2022-09	7	11	11199.93	1018.175455	232748.68
2022-09	8	14	10475.99	748.285000	243224.67
2022-09	9	17	10173.43	598.437059	253398.10
2022-09	10	9	8594.71	954.967778	261992.81
2022-09	11	13	8884.19	683.399231	270877.00
2022-09	12	16	19859.22	1241.201250	290736.22
2022-09	13	14	14421.42	1030.101429	305157.64
2022-09	14	12	15632.82	1302.735000	320790.46
2022-09	15	10	5110.42	511.042000	325900.88
2022-09	16	12	12313.24	1026.103333	338214.12
2022-09	17	10	5854.76	585.476000	344068.88
2022-09	18	17	18401.00	1082.411765	362469.88
2022-09	19	13	9407.11	723.623846	371876.99
2022-09	20	16	12090.86	755.678750	383967.85
2022-09	21	9	15030.25	1670.027778	398998.10
2022-09	22	14	9101.62	650.115714	408099.72
2022-09	23	6	5428.15	904.691667	413527.87
2022-09	24	11	5538.65	503.513636	419066.52
2022-09	25	20	19774.26	988.713000	438840.78
2022-09	26	9	4581.41	509.045556	443422.19
2022-09	27	12	8631.06	719.255000	452053.25
2022-09	28	13	11478.53	882.963846	463531.78
2022-09	29	12	8242.79	686.899167	471774.57
2022-09	30	13	9502.45	730.957692	481277.02
2022-09	31	8	7132.29	891.536250	488409.31
2022-09	32	14	6312.86	450.918571	494722.17
2022-09	33	8	6501.96	812.745000	501224.13
2022-09	34	14	9099.38	649.955714	510323.51
2022-09	35	16	13053.99	815.874375	523377.50
2022-09	36	1	854.28	854.280000	524231.78
2022-10	0	172	143077.30	831.844767	143077.30
2022-10	1	14	24072.91	1719.493571	167150.21
2022-10	2	11	8470.74	770.067273	175620.95
2022-10	3	13	9823.73	755.671538	185444.68
2022-10	4	15	14876.59	991.772667	200321.27
2022-10	5	15	15813.05	1054.203333	216134.32
2022-10	6	16	16701.67	1043.854375	232835.99
2022-10	7	17	19038.83	1119.931176	251874.82
2022-10	8	18	16972.74	942.930000	268847.56
2022-10	9	17	12724.77	748.515882	281572.33
2022-10	10	16	15145.25	946.578125	296717.58
2022-10	11	17	13234.17	778.480588	309951.75
2022-10	12	7	2307.30	329.614286	312259.05
2022-10	13	10	5665.37	566.537000	317924.42
2022-10	14	14	12780.28	912.877143	330704.70
2022-10	15	13	5571.66	428.589231	336276.36
2022-10	16	12	11473.83	956.152500	347750.19
2022-10	17	15	14105.76	940.384000	361855.95
2022-10	18	16	11448.47	715.529375	373304.42
2022-10	19	10	6317.23	631.723000	379621.65
2022-10	20	14	12097.51	864.107857	391719.16
2022-10	21	17	11779.75	692.926471	403498.91
2022-10	22	20	20700.14	1035.007000	424199.05
2022-10	23	14	13973.49	998.106429	438172.54
2022-10	24	14	20273.22	1448.087143	458445.76
2022-10	25	10	12463.45	1246.345000	470909.21
2022-10	26	15	14380.88	958.725333	485290.09
2022-10	27	16	13257.79	828.611875	498547.88
2022-10	28	21	18521.52	881.977143	517069.40
2022-10	29	18	21438.00	1191.000000	538507.40
2022-10	30	14	21594.36	1542.454286	560101.76
2022-10	31	10	9375.22	937.522000	569476.98
2022-10	32	11	11036.32	1003.301818	580513.30
2022-10	33	14	11427.38	816.241429	591940.68
2022-10	34	13	19490.35	1499.257692	611431.03
2022-10	35	7	4552.05	650.292857	615983.08
2022-11	0	136	131845.21	969.450074	131845.21
2022-11	1	7	3040.34	434.334286	134885.55
2022-11	2	14	14653.16	1046.654286	149538.71
2022-11	3	16	12741.26	796.328750	162279.97
2022-11	4	16	16489.78	1030.611250	178769.75
2022-11	5	17	8586.41	505.082941	187356.16
2022-11	6	13	17294.02	1330.309231	204650.18
2022-11	7	11	11720.59	1065.508182	216370.77
2022-11	8	15	17053.65	1136.910000	233424.42
2022-11	9	15	13572.68	904.845333	246997.10
2022-11	10	18	15940.78	885.598889	262937.88
2022-11	11	11	9305.51	845.955455	272243.39
2022-11	12	15	11878.42	791.894667	284121.81
2022-11	13	13	17082.02	1314.001538	301203.83
2022-11	14	11	8850.18	804.561818	310054.01
2022-11	15	13	10974.44	844.187692	321028.45
2022-11	16	17	13296.49	782.146471	334324.94
2022-11	17	19	22351.66	1176.403158	356676.60
2022-11	18	13	15173.76	1167.212308	371850.36
2022-11	19	13	9378.10	721.392308	381228.46
2022-11	20	15	16718.65	1114.576667	397947.11
2022-11	21	16	16587.92	1036.745000	414535.03
2022-11	22	9	14285.40	1587.266667	428820.43
2022-11	23	11	13971.15	1270.104545	442791.58
2022-11	24	10	7464.84	746.484000	450256.42
2022-11	25	14	11520.83	822.916429	461777.25
2022-11	26	12	11719.75	976.645833	473497.00
2022-11	27	8	6826.73	853.341250	480323.73
2022-11	28	11	8894.79	808.617273	489218.52
2022-11	29	11	10036.76	912.432727	499255.28
2022-11	30	8	4749.10	593.637500	504004.38
2022-11	31	9	8959.45	995.494444	512963.83
2022-11	32	7	5743.47	820.495714	518707.30
2022-11	33	13	10166.88	782.067692	528874.18
2022-11	34	9	10360.79	1151.198889	539234.97
2022-12	0	144	128709.82	893.818194	128709.82
2022-12	1	12	11047.89	920.657500	139757.71
2022-12	2	15	13393.75	892.916667	153151.46
2022-12	3	8	6415.05	801.881250	159566.51
2022-12	4	9	9517.57	1057.507778	169084.08
2022-12	5	13	18262.70	1404.823077	187346.78
2022-12	6	16	15201.29	950.080625	202548.07
2022-12	7	11	11109.28	1009.934545	213657.35
2022-12	8	9	11038.17	1226.463333	224695.52
2022-12	9	12	19264.23	1605.352500	243959.75
2022-12	10	12	9319.21	776.600833	253278.96
2022-12	11	11	15772.47	1433.860909	269051.43
2022-12	12	16	7616.03	476.001875	276667.46
2022-12	13	17	19448.92	1144.054118	296116.38
2022-12	14	9	8367.33	929.703333	304483.71
2022-12	15	14	16037.10	1145.507143	320520.81
2022-12	16	17	8783.59	516.681765	329304.40
2022-12	17	15	13848.82	923.254667	343153.22
2022-12	18	8	6008.61	751.076250	349161.83
2022-12	19	12	20341.81	1695.150833	369503.64
2022-12	20	20	11681.14	584.057000	381184.78
2022-12	21	15	12358.89	823.926000	393543.67
2022-12	22	10	15324.05	1532.405000	408867.72
2022-12	23	11	12932.50	1175.681818	421800.22
2022-12	24	16	11080.40	692.525000	432880.62
2022-12	25	20	19217.69	960.884500	452098.31
2022-12	26	12	10792.97	899.414167	462891.28
2022-12	27	22	29401.23	1336.419545	492292.51
2022-12	28	17	21625.66	1272.097647	513918.17
2022-12	29	11	7585.43	689.584545	521503.60
2022-12	30	13	19135.76	1471.981538	540639.36
